sentenca,categoria_maritaka
Super maravilhoso,"na frase ""super maravilhoso"" não há informações suficientes para identificar claramente os temas de serviço, bebida, ambiente, comida, localização, preço ou geral, já que a frase é muito curta e não fornece detalhes específicos portanto, não é possível retornar uma saída com os nomes dos temas identificados nesta frase"
"Excelentes comidas, e bom atendimento.","comida, serviço"
"Excelente atendimento, boa carta de vinhos, pratos preparados sob a batuta do chef Felipe.","serviço, bebida, comida"
"Minha noiva e eu somos clientes fiéis, mas antes de falar o que é bom, ressalto o único defeito da casa: a demora na entrega da conta que já demorou 15 minutos (uma única vez dentre várias).",serviço
Comida boa e bom atendimento,"comida, serviço"
"Ótimo ambiente, com lugar para deixar as crianças que se divertiram bastante, atendimento excelente garçom Cícero, comidas deliciosas... Experiência ótima","ambiente, serviço, comida"
Comida boa e funcionários muito educados,"comida, serviço"
"Cortes maravilhosos, atendimento top!!","cortes maravilhosos, atendimento top!!

não há como identificar claramente os temas de ""bebida"" e ""ambiente"" na frase, os demais temas são:

comida, serviço"
"Atendimento muito simpático das meninas, ótima localização, limpinho ,  bonito e preço bem honesto.. E mais :  caipirinha de cachaça de jambu, melaço de cana de açucar e algum outro ingrediente local (não lembro o nome... a memoria se apagou de tão forte que era...Mais","serviço, localização, ambiente, preço, outros"
Um lugar para apreciar um delicioso sanduíche amazônico...,comida
Muito boa a comida e atendimento excelente do Braian ?,"<frase>
                comida, serviço"
"Atendimento perfeito, suco muito bom, filé estupendo.","serviço, bebida, comida"
"Phelipe , atendimento show de bola , maravilhoso",serviço
"Comida boa prato feito acessível, a última vez que fui no local achei a farofa carregada no sal acredita que foi apenas um erro mas é bom informar pois isso deve ser endentificado antes de servir ao cliente unidade do shopping Manauara.","comida, bebida, serviço, ambiente, preço, localização"
Atendimento ótimo e comida boa tb.,"serviço, comida"
Preços acessíveis.,preço
Porém com preços altos.,preço
funcionários bem atenciosos.,serviço
"Maravilhoso atendimento , garçom Vinicius, muito gentil, super atencioso e prestativo.",serviço
"Um ótimo local, as comidas veem quentinhas, muito saborosas... atendimento maravilhoso","comida, serviço"
"Foi ótimo, atendimento maravilhoso",serviço
"a mais famosa picanha no bafo de manaus, com otimo ambiente, otimo atendimento e claro, picanha gostosa e suculenta","comida, ambiente, serviço"
Lugar agradável e excelente atendimento.,"serviço, ambiente"
Atendimento impecável e funcionários mega atenciosos.,serviço
Uma experiência maravilhosa pra quem deseja conhecer um pouco da cozinha mexicana.,comida
"Restaurante aconchegante e a carne em um nível inigualável, proprietários muito atenciosos e cordiais","comida, ambiente, serviço"
Atendimento impecável.,serviço
já frequento algum tempo e sempre fui bem atendido e sempre delicie as comidas que lá servem tudo da melhor qualidade,"serviço, comida, bebida"
"Tivemos no domingo em um almoço de família e como sempre a melhor carne de sol, preço em conta e o melhor atendimento do início ao fim.","comida, serviço, preço"
Ótimo atendimento excelente comidas de ótima qualidade.,"<frase>
                comida, serviço"
Garçons incríveis.,serviço
Tudo uma delícia...ótimo atendimento,"serviço, comida"
"O restaurante conta com comidas típicas da cidade, é um local confortável de se estar, a comida é excelente, atendimento maravilhoso e preços acessíveis.","comida, ambiente, serviço, preço"
"Espaço legal, atendimento bom.","ambiente, serviço"
"O ambiente de fino e bom gosto com atendimento digno de um restaurante 5 ( cinco) estrelas, nao poderia deixa de agradecer...Mais","ambiente, serviço"
"Restaurante típico da cozinha amazonense, adoramos o peixe com arroz de tucumã e pure de macaxeira.",comida
Ótimo atendimento.,serviço
"Comida saborosa, bom atendimento e preço acessível.","comida, serviço, preço"
Bom atendimento e comida deliciosa!,"serviço, comida"
"Atendimento excelente, todos foram muito prestativos e gentis.",serviço
Super indico para pessoas que estão vindo a Manaus pela primeira vez.,geral
"Excelente atendimento, local limpo, clareza e paciência para explicar o prato, preço dentro do valor de mercado.","serviço, ambiente, preço"
"Ótimo atendimento, coisas deliciosas.","serviço, comida"
"Comida de boa qualidade, ótimo atendimento ambiente muito agradável!","serviço, comida, ambiente"
"Muito bem localizado, escondidinho ao lado do Teatro com uma vista muito bacana e a comida tradicional de primeira qualidade e atendimento primoroso.","localização, ambiente, comida, serviço"
"O atendimento maravilhoso pelo garçom Ricardo José ,foi uma experiência ótima pratos maravilhos ,ambiente aconchegante...","serviço, comida, ambiente"
Adalberto Blanca foi uma ótima pessoa,"a frase ""adalberto blanca foi uma ótima pessoa"" não contém informações específicas sobre restaurantes ou comentários de clientes que possam ser enquadrados nos temas solicitados (serviço, bebida, ambiente, comida, localização, preço, geral, outros) portanto, não é possível identificar temas relacionados a restaurantes a partir dessa frase"
"Sair do trabalho na hora do almoço para comer neste local é impossível, atendimento está altamente perdido, não sabem quem atendem por primeiro, não há estrutura para atender o salão cheio... É impressionante como em Manaus não se consegue manter um nível mínimo de atendimento!!!","serviço, ambiente"
"O clima é super agradável, recomendo tanto pra encontros em família ou a dois.","ambiente, geral"
Único problema é o barulho.,ambiente
"Ótimo ambiente, ótimo atendimento, mas quando começa a ter bastantes clientes o atendimento cai um pouco.","ambiente, serviço"
Excelente pratos e preços atrativos,"comida, preço"
"Lugar agradável, Gastronomia excelente...","comida, ambiente, geral"
"Muito bom atendimento, garçons muitos educados gostei de verdade.",serviço
"Estão de parabéns, além de um atendimento excelente pelo garçom Filipe Farias e ambiente agradável, os pratos com camarão são mravilhosos, e recomendo pedirem a torta trufada.","serviço, ambiente, comida, outros"
"Fomos em grupo de pais, com as crianças (média de 2 anos) e sentamos nas mesas próximas ao espaço kids, super agradável e aconchegante.",ambiente
Super indico!,"comida, bebida, serviço, ambiente"
"Muito bom, comida boa e ótimo atendimento","comida, serviço"
Se gosta de experimentar drinks diferentes e muito bem feitos esse é o lugar.,"drinks, serviço"
Muito bom atendimento excelente.,serviço
"Ambiente confortável, pratos saborosos mas eventualmente o preparo pode demorar em dias de grande procura.","ambiente, comida, serviço"
"Atendimento excelente, variedade de sabores, ambiente agradável ?","serviço, comida, ambiente"
"Musica boa, clinária regional maravilhosa, atendimento excelente!!!","musica, ambiente, serviço"
"Ate que o atendimento é razoavel, mas se esta a procura de coisa melhor, este nao seria o lugar  qual podes ficar por um bom tempo.","serviço, comida"
"Recomendo, muito legal, a diversão sensacional...","recomendo, muito legal, a diversão sensacional"
Atendimento rápido com qualidade e muito bom os pratos oferecidos,"serviço, comida"
Bom atendimento.,serviço
Excelente atendimento.,serviço
"Açaí delicioso, atendimento muito bom!","comida, serviço"
"Ótimo atendimento, mas a qualidade da pizza no rodízio e das batatas fritas passam longe.","serviço, comida"
"Atendimento muito bom, Jardel rapaz bem simpático!",serviço
"Um lugar maravilhoso, restaurante  com ótimo atendimento  e com ótimo cardápio  e pode-se desfrutar da natureza.","comida, bebida, serviço, ambiente"
"Atendimento do Marcos e Rodrigo Uchoa ótimos, melhores garçons.",serviço
Ambiente confortável com atendimento de primeira e comida excelente.,"<frase>
                ambiente, serviço, comida"
"Ótimo atendimento, não parava de comer.kkkk","serviço, comida"
"Comida farta e saborosa, preços ótimos, atendimento satisfatório, ambiente familiar.","comida, preço, serviço, ambiente"
Cardápio com preços muito honesto  Vale conferir o brigadeiro de peixe Não esquecer de curtir um SUP!!,"comida, bebida, serviço, preço, outros"
"Fomos super bem atendidos pelo Roberto, excelente garçom, muito cuidadoso com todos.",serviço
Péssimo atendimento.,serviço
"Lugar Ideal Pra Quem Procura Um bom Atendimento, Boa Comida E Excelente Ambiente.","<frase>

serviço, comida, ambiente"
"super indico, crianças até 22:00 hrs, com se responsáveis ??","comida, bebida, serviço, geral"
Garçom Senna super atencioso,serviço
"Fui atendido, sem absolutamente  nenhuma cerimônia, nenhum simples pedido de desculpa.",serviço
O menu é incrível e o atendimento perfeito.,"comida, serviço"
"Lugar charmoso e aconchegante, comida deliciosa e ótimo atendimento.","comida, ambiente, serviço"
"Atendimento excelente, música mpb ao vivo e  a refeição deliciosa","serviço, ambiente, comida"
Atendimento rápido e preço camarada,"serviço, preço"
Excelente restaurante... atendimento ótimo,serviço
"Garçom celso, parabéns pelo seu atendimento super da hora top de mas parabéns",serviço
"Custa em torno de 250,00, comem 5 ou seis adultos famintos.","localização, preço"
"Ambiente agradável, comida otima e atendimento excelente.","comida, ambiente, serviço"
Coisas muito caras.,preço
Excelente atendimento,serviço
"Atendimento muito bom, e sempre fazem promoções muito boas em termos de custo e benefício.","serviço, preço"
Qualidade e bons preços,"preço, comida"
"Dica de prato: matrinxã recheado é sensacional e de sobremesa creme de cupuaçu, que é muito bom também.","comida, bebida"
Excelente atendimento!,serviço
Excelente atendimento,serviço
O serviço é meio do tipo antigo e lento.,serviço
"Comida deliciosa, atendimento muito bom e preço razoavelmente justo.","comida, serviço, preço"
"No Banzeiro encontramos excelente gastronomia brasileira e regional, com pratos elaborados, criativos e deliciosos.",comida
Bom restaurante e ótimo atendimento do garçom Senna.,serviço
"Um excelente atendimento, clima agradável e o ambiente bastante adorável, fomos recepcionados da melhor maneira pela atendente Marcela, sempre sorrindo, sendo gentil comigo e meus amigos,mostrando as melhores pedidas e melhores bebidas.","serviço, ambiente, outros"
"Ótimo menu, excelente atendimento, preço justo.","comida, serviço, preço"
Ótimo excelente lugar agradável Boa comida nota 10,"comida, serviço"
"Gosto muito de lá, localcalmo, ambiente rústico, peixes bem preparados, um caldinho gostoso e preços módicos","localização, ambiente, comida, preço"
Atendentes simpáticas.,serviço
"Ketherin  atendimento excelente, porém fica a sugestão que os bolinhos e a macaxeiras sejam frito na hora que o cliente fazer o pedido","serviço, comida"
Ótimo atendimento e um dos melhores locais em Manaus para comer doces e salgados sem arrependimentos!,"serviço, comida, bebida"
Sanduíche maravilhoso e lugar muito agradável,"comida, ambiente"
"Boa qualidade, preço bom pra rodízio e bom atendimento","comida, bebida, serviço, preço"
"Excelente atendimento do Rafael Viera Ambiente bonito, musica prazerosa.","serviço, ambiente, música"
